Datum,PREJETA DELOVNA ENERGIJA ET,PREJETA VT,PREJETA MT,ODDANA DELOVNA ENERGIJA ET,ODDANA VT,ODDANA MT
2022-10-25,7.63,6.514,1.116,6.271,6.271,0.0
2022-10-26,17.337,12.55,4.787,26.411,26.411,0.0
2022-10-27,24.081,16.225,7.856,53.298,53.298,0.0
2022-10-28,34.573,23.83,10.743,88.341,88.341,0.0
2022-10-29,42.821,28.997,13.824,125.545,125.545,0.0
2022-10-30,52.026,28.997,23.029,158.336,125.545,32.791
2022-10-31,58.858,28.997,29.861,192.744,125.545,67.199
2022-11-01,72.832,28.997,43.835,223.091,125.545,97.546
2022-11-02,82.78,28.997,53.783,250.057,125.545,124.512
2022-11-03,91.283,35.197,56.086,274.799,150.287,124.512
2022-11-04,100.962,42.477,58.485,285.61,161.098,124.512
2022-11-05,111.083,49.199,61.884,295.479,170.967,124.512
2022-11-06,118.457,49.199,69.258,316.074,170.967,145.107
2022-11-07,124.8,49.199,75.601,352.017,170.967,181.05
2022-11-08,130.939,53.108,77.831,386.123,205.073,181.05
2022-11-09,138.687,57.956,80.731,415.39,234.34,181.05
2022-11-10,146.459,62.553,83.906,416.666,235.616,181.05
2022-11-11,159.145,71.473,87.672,418.041,236.991,181.05
2022-11-12,171.46,79.43,92.03,438.214,257.164,181.05
2022-11-13,192.795,79.43,113.365,441.758,257.164,184.594
2022-11-14,203.092,79.43,123.662,459.402,257.164,202.238
2022-11-15,213.986,87.118,126.868,463.6,261.362,202.238
2022-11-16,226.337,96.516,129.821,473.746,271.508,202.238
2022-11-17,239.932,107.236,132.696,476.261,274.023,202.238
2022-11-18,255.044,119.232,135.812,476.733,274.495,202.238
2022-11-19,264.638,125.518,139.12,479.409,277.171,202.238
2022-11-20,275.082,125.518,149.564,490.042,277.171,212.871
2022-11-21,286.219,125.518,160.701,506.098,277.171,228.927
2022-11-22,295.055,131.652,163.403,529.381,300.454,228.927
2022-11-23,307.406,141.297,166.109,529.606,300.679,228.927
2022-11-24,316.013,147.292,168.721,534.685,305.758,228.927
2022-11-25,328.602,156.284,172.318,552.852,323.925,228.927
2022-11-26,340.667,164.539,176.128,564.696,335.769,228.927
2022-11-27,367.398,164.539,202.859,573.535,335.769,237.766
2022-11-28,378.434,164.539,213.895,600.427,335.769,264.658
2022-11-29,389.857,172.89,216.967,614.767,350.109,264.658
2022-11-30,400.454,180.593,219.861,621.36,356.702,264.658
2022-12-01,414.756,190.586,224.17,627.311,362.653,264.658
2022-12-02,426.712,198.829,227.883,640.048,375.39,264.658
2022-12-03,437.623,206.977,230.646,642.984,378.326,264.658
2022-12-04,455.856,206.977,248.879,643.63,378.326,265.304
2022-12-05,468.752,206.977,261.775,645.817,378.326,267.491
2022-12-06,483.318,216.488,266.83,648.024,380.533,267.491
2022-12-07,490.912,220.901,270.011,673.081,405.59,267.491
2022-12-08,499.026,225.879,273.147,695.951,428.46,267.491
2022-12-09,509.017,231.787,277.23,705.109,437.618,267.491
2022-12-10,525.982,245.013,280.969,705.16,437.669,267.491
2022-12-11,544.907,245.013,299.894,705.425,437.669,267.756
2022-12-12,562.817,245.013,317.804,705.718,437.669,268.049
2022-12-13,571.876,251.619,320.257,734.245,466.196,268.049
2022-12-15,589.909,264.133,325.776,743.767,475.718,268.049
2022-12-16,601.075,272.504,328.571,744.108,476.059,268.049
2022-12-17,615.191,283.493,331.698,744.264,476.215,268.049
2022-12-18,633.61,283.493,350.117,745.272,476.215,269.057
2022-12-19,645.632,283.493,362.139,769.264,476.215,293.049
2022-12-20,656.301,290.827,365.474,780.916,487.867,293.049
2022-12-21,668.063,298.864,369.199,781.687,488.638,293.049
2022-12-22,682.492,308.68,373.812,781.709,488.66,293.049
2022-12-23,694.549,316.786,377.763,781.795,488.746,293.049
2022-12-24,706.305,325.438,380.867,781.98,488.931,293.049
2022-12-25,729.15,325.438,403.712,783.761,488.931,294.83
2022-12-26,747.045,325.438,421.607,783.893,488.931,294.962
2022-12-27,765.449,325.438,440.011,783.926,488.931,294.995
2022-12-28,785.38,341.155,444.225,784.721,489.726,294.995
2022-12-29,800.616,352.808,447.808,787.983,492.988,294.995
2022-12-30,818.495,368.282,450.213,788.092,493.097,294.995
2022-12-31,835.467,380.98,454.487,788.149,493.154,294.995
